t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
48,50,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
31,35,240102_30C_fig_SX387_03,13,14,gcn,12,1,169,0,0.9945054945054945,0.96,20
140,143,240102_30C_fig_SW182_01,66,66,gcn,66,0,4290,0,1.0,1.0,15
50,52,240102_30C_fig_SX387_01,34,35,gcn,33,0,1157,0,1.0,1.0,10
19,21,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,10
60,63,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,15
123,127,240102_30C_fig_SW182_01,53,57,gcn,49,4,2968,0,0.9986759351208209,0.9607843137254902,20
9,13,240102_30C_fig_SX387_01,12,15,gcn,9,3,168,0,0.9833333333333333,0.8571428571428571,20
118,120,240102_30C_fig_SW182_01,51,53,gcn,49,2,2652,0,0.9992600813910469,0.98,10
11,14,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,15
27,31,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,20
62,66,240102_30C_fig_SX387_01,38,40,gcn,34,2,1482,2,0.9973684210526316,0.9444444444444444,20
2,5,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,15
98,102,240102_30C_fig_SX387_03,47,48,gcn,46,0,2210,0,1.0,1.0,20
3,5,240102_30C_fig_SX387_01,10,10,gcn,10,0,90,0,1.0,1.0,10
23,24,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,5
28,32,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,20
44,46,240102_30C_fig_SX387_03,22,24,gcn,20,0,508,0,1.0,1.0,10
71,73,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
68,70,240102_30C_fig_SW182_01,21,22,gcn,21,0,441,0,1.0,1.0,10
117,120,240102_30C_fig_SW182_01,47,53,gcn,41,4,2446,0,0.9983942191890807,0.9534883720930233,15
87,89,240102_30C_fig_SW182_01,33,33,gcn,33,0,1056,0,1.0,1.0,10
25,27,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,10
47,49,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,10
40,41,240102_30C_fig_SW182_01,14,15,gcn,13,1,196,0,0.9952380952380953,0.9629629629629629,5
37,41,240102_30C_fig_SX387_03,16,21,gcn,11,3,322,0,0.9910714285714286,0.88,20
112,113,240102_30C_fig_SX387_03,53,53,gcn,53,0,2756,0,1.0,1.0,5
16,20,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,20
40,44,240102_30C_fig_SX387_01,21,26,gcn,16,2,528,0,0.9963369963369964,0.9411764705882353,20
18,22,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,20
82,86,240102_30C_fig_SX387_05,9,14,gcn,4,4,118,0,0.9682539682539683,0.6666666666666666,20
93,94,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,5
103,106,240102_30C_fig_SW182_01,37,38,gcn,36,0,1370,0,1.0,1.0,15
61,63,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
136,138,240102_30C_fig_SW182_01,63,64,gcn,62,1,3969,0,0.9997519841269841,0.992,10
47,48,240102_30C_fig_SX387_01,31,33,gcn,29,2,992,0,0.9980449657869013,0.9666666666666667,5
95,99,240102_30C_fig_SW182_01,36,37,gcn,35,1,1296,0,0.9992492492492493,0.9859154929577465,20
72,73,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,5
69,73,240102_30C_fig_SX387_03,24,27,gcn,21,2,625,0,0.9969135802469136,0.9545454545454546,20
19,22,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,15
67,70,240102_30C_fig_SW182_01,21,22,gcn,21,0,441,0,1.0,1.0,15
123,125,240102_30C_fig_SW182_01,53,54,gcn,52,1,2809,0,0.9996505939902166,0.9904761904761905,10
106,107,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,5
5,7,240102_30C_fig_SX387_03,10,12,gcn,8,1,111,0,0.9916666666666667,0.9411764705882353,10
73,77,240102_30C_fig_SW182_01,25,28,gcn,22,3,675,0,0.9957142857142857,0.9361702127659575,20
21,25,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,20
68,72,240102_30C_fig_SW182_01,21,25,gcn,17,4,504,0,0.9923809523809524,0.8947368421052632,20
82,85,240102_30C_fig_SX387_05,9,13,gcn,5,3,109,0,0.9743589743589743,0.7692307692307693,15
38,41,240102_30C_fig_SW182_01,14,15,gcn,13,1,196,0,0.9952380952380953,0.9629629629629629,15
104,105,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,5
67,69,240102_30C_fig_SW182_01,21,21,gcn,21,0,420,0,1.0,1.0,10
32,33,240102_30C_fig_SX387_01,19,19,gcn,19,0,342,0,1.0,1.0,5
70,73,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,15
30,34,240102_30C_fig_SW182_01,12,14,gcn,10,2,156,0,0.9880952380952381,0.9090909090909091,20
80,81,240102_30C_fig_SX387_03,37,39,gcn,35,2,1406,0,0.9986139986139986,0.9722222222222222,5
8,10,240102_30C_fig_SX387_01,12,13,gcn,11,1,144,0,0.9935897435897436,0.9565217391304348,10
117,119,240102_30C_fig_SW182_01,47,52,gcn,42,4,2398,0,0.9983633387888707,0.9545454545454546,10
89,91,240102_30C_fig_SW182_01,33,35,gcn,31,0,1124,0,1.0,1.0,10
94,97,240102_30C_fig_SX387_03,47,47,gcn,47,0,2162,0,1.0,1.0,15
103,105,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,10
